Delocalized TL;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;times;Sequence of time steps for simulation;s;0--700 
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;R;Delocalized retrapping ratio;1;0--1
Delocalized CW-IRSL;A ;Optical excitation rate from trap to conduction band;1/s;1E-3--1
;times;Sequence of time steps for simulation;s;0--500
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;R;Delocalized retrapping ratio;1;0--1
Delocalized ISO;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;T;Temperature;$^{\circ}$C;20--300
;times;Sequence of time steps for simulation;s;0--1000
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Number of electrons;1;2--1E5
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;R;Delocalized retrapping ratio;1;0--1
Delocalized LM-OSL;A ;Optical excitation rate from trap to conduction band;1/s;1E-3--1
;times;Sequence of time steps for simulation;s;0--3000
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;R;Delocalized retrapping ratio;1;0--1
;;;;
Localized TL;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;times;Sequence of time steps for simulation;s;0--700 
;clusters;Number of MC runs;1;1E1--1E4
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;r;Localized retrapping ratio;1;0--1E5
Localized CW-IRSL;A ;Excitation rate from ground state of the trap to the excited state;1/s;1E-3--1
;times;Sequence of time steps for simulation;s;0--500
;clusters;Number of MC runs;1;1E1--1E4
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;r;Localized retrapping ratio;1;0--1E5
Localized ISO;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;T;Temperature;$^{\circ}$C;20--300
;times;Sequence of time steps for simulation;s;0--1000
;clusters;Number of MC runs;1;1E1--1E4
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;r;Localized retrapping ratio;1;0--1E5
Localized LM-OSL;A ;Excitation rate from ground state of the trap to the excited state;1/s;1E-3--1
;times;Sequence of time steps for simulation;s;0--3000
;clusters;Number of MC runs;1;1E1--1E4
;n\_filled;Number of filled electron traps at the beginning of the simulation;1;1--1E5
;r;Localized retrapping ratio;1;0--1E5
;;;;
TL with tunneling recombination;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;rho;Density of recombination centers (defined as $\rho^{\prime}$ in Huntley 2006);1;1E-7--1E-4
;r\_c ;Critical distance (>0) that is to be inserted if the sample has been thermally and/or optically pretreated, so that the electron-hole pairs within r\_c have already recombined;1;0--2
;times;Sequence of time steps for simulation;s;0--700
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;delta.r;Increments of the unitless distance parameter r;1;1E-3--1E-1
CW-IRSL with tunneling recombination;A ;Excitation rate from ground state of the trap to the excited state;1/s;1E-3--1
;rho;Density of recombination centers (defined as $\rho^{\prime}$ in Huntley 2006);1;1E-7--1E-4
;times;Sequence of time steps for simulation;s;0--500
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;r\_c ;Critical distance (>0) that is to be inserted if the sample has been thermally and/or optically pretreated, so that the electron-hole pairs within r\_c have already recombined;1;0--2
;delta.r;Increments of the unitless distance parameter r;1;1E-3--1E-1
ISO with tunneling recombination;E;Thermal activation energy of the trap;eV;0.5--3
;s;Frequency factor of the trap;1/s;1E8--1E16
;T;Temperature;$^{\circ}$C;20--300
;rho;Density of recombination centers (defined as $\rho^{\prime}$ in Huntley 2006);1;1E-7--1E-4
;times;Sequence of time steps for simulation;s;0--1000
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;r\_c ;Critical distance (>0) that is to be inserted if the sample has been thermally and/or optically pretreated, so that the electron-hole pairs within r\_c have already recombined;1;0--2
;delta.r;Increments of the unitless distance parameter r;1;1E-3--1E-1
LM-OSL with tunneling recombination;A ;Excitation rate from ground state of the trap to the excited state;1/s;1E-3--1
;rho;Density of recombination centers (defined as $\rho^{\prime}$ in Huntley 2006);1;1E-7--1E-4
;times;Sequence of time steps for simulation;s;0--3000
;clusters;Number of MC runs;1;1E1--1E4
;N\_e;Total number of electron traps available;1;2--1E5
;r\_c ;Critical distance (>0) that is to be inserted if the sample has been thermally and/or optically pretreated, so that the electron-hole pairs within r\_c have already recombined;1;0--2
;delta.r;Increments of the unitless distance parameter r;1;1E-3--1E-1
